time	Qdflat(1)	tau(1)	hru_ea(1)	hru_rh(1)	hru_t(1)
units	(W/m^2)	()	(kPa)	(%)	(°C)
41912.45833	499.494	0.304956	0.367324	54.04	1.47375
41912.5	590.139	0.304956	0.386489	57.555	1.30475
41912.54167	630.949	0.304956	0.363418	55.395	0.9815
41912.58333	618.788	0.304956	0.350213	54.43	0.7125
41912.625	554.581	0.304956	0.367232	58.6025	0.348
41912.66667	443.356	0.304956	0.379263	62.0375	0.00775
41912.70833	296.896	0.304956	0.360288	59.5225	-0.11375
41912.75	130.763	0.304956	0.356545	58.96	-0.12525
41912.79167	10.7087	0.304956	0.356145	57.88	0.09675
41912.83333	0	0.304956	0.383137	61.305	0.311
41912.875	0	0.304956	0.388301	62.805	0.1625
41912.91667	0	0.304956	0.394215	64.475	0.0095
41912.95833	0	0.304956	0.386008	61.5775	0.35275
41913	0	0.304956	0.453265	77.6875	-0.55875
41913.04167	0	0.455779	0.399417	67.43	-0.37575
41913.08333	0	0.455779	0.369797	63.155	-0.5155
41913.125	0	0.455779	0.362862	63.655	-0.83925
41913.16667	0	0.455779	0.331802	58.74	-0.94925
41913.20833	0	0.455779	0.35113	65.02	-1.48975
41913.25	0	0.455779	0.321153	60.9025	-1.77525
41913.29167	0	0.455779	0.315557	61.8775	-2.17525
41913.33333	45.8231	0.455779	0.405891	95.975	-4.39075
41913.375	200.484	0.455779	0.394585	91.775	-4.197
41913.41667	360.627	0.455779	0.36608	87.625	-4.534
41913.45833	492.525	0.455779	0.309571	72.8775	-4.339
41913.5	583.133	0.455779	0.311723	77.4975	-4.97775
41913.54167	623.933	0.455779	0.322026	84.38	-5.5905
41913.58333	611.775	0.455779	0.312497	81.9025	-5.59325
41913.625	547.588	0.455779	0.294838	76.6375	-5.497
41913.66667	436.42	0.455779	0.317159	86.55	-6.062
41913.70833	290.338	0.455779	0.310976	85.2575	-6.11575
41913.75	124.854	0.455779	0.310172	86.495	-6.3125
41913.79167	9.02001	0.455779	0.323418	92.825	-6.64525
41913.83333	0	0.455779	0.298743	78.83	-5.672
41913.875	0	0.455779	0.28169	69.9875	-4.9705
41913.91667	0	0.455779	0.270627	63.6025	-4.31925
41913.95833	0	0.455779	0.239791	52.95	-3.58525
41914	0	0.455779	0.247967	53.8775	-3.39425
41914.04167	0	0.410726	0.239133	50.48	-3.0525
41914.08333	0	0.410726	0.224376	45.8325	-2.662
